[2025-05-30 20.34.54] [INFO] Application starting.
[2025-05-30 20.34.54] [ERROR] Failed to load font: assets/fonts/ascii_16x16.png
Exception: System.InvalidOperationException: You need to initialize the OpenGL binding first by calling LoadBindings() or creating a compatible OpenGL window.
   at OpenTK.Graphics.BindingsBase.Uninitialized()
   at OpenTK.Graphics.OpenGL4.GL.GenTexture()
   at CoolRetroPowershellTerm.BitmapFont.LoadTexture(String path) in C:\Source\cool-retro-powershell-term\src\CoolRetroPowershellTerm\BitmapFont.cs:line 32
   at CoolRetroPowershellTerm.BitmapFont..ctor(String path, Int32 glyphWidth, Int32 glyphHeight, Int32 gridCols, Int32 gridRows) in C:\Source\cool-retro-powershell-term\src\CoolRetroPowershellTerm\BitmapFont.cs:line 25
   at CoolRetroPowershellTerm.Program.Main(String[] args) in C:\Source\cool-retro-powershell-term\src\CoolRetroPowershellTerm\Program.cs:line 31
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.365
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.365
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.366
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.366
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.366
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.367
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.367
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.367
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.368
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.368
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.368
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.369
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.369
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.370
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.370
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.371
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.371
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.372
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.372
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.372
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.373
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.376
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.376
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.377
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.377
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.378
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.378
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.379
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.379
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.379
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.380
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.380
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.381
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.381
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.381
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.382
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.382
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.382
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.383
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.383
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.383
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.384
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.384
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.385
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.385
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.385
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.386
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.386
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.387
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.387
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.387
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.387
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.388
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.388
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.389
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.389
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.389
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.390
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.392
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.394
